смех	смех 😄
смеяться	смеяться 😂
любовь	любовь ❤️
ятебялюблю	ятебялюблю ❤️
кот	кот 🐈
кошка	кошка 🐱
собака	собака 🐕
пес	пес 🐶
привет	привет 👋
пока	пока 👋
россия	россия 🇷🇺
медведь	медведь 🐻
хорошо	хорошо 👍
окей	окей 👌
да	да 👍
нет	нет 👎
огонь	огонь 🔥
сердце	сердце ❤️
плакать	плакать 😭
грусть	грусть 😢
злой	злой 😠
ужас	ужас 😱
круто	круто 😎
спасибо	спасибо 🙏
пожалуйста	пожалуйста 🥺
солнце	солнце ☀️
луна	луна 🌙
звезда	звезда ⭐
цветок	цветок 🌹
поцелуй	поцелуй 😘
кофе	кофе ☕
чай	чай 🍵
пиво	пиво 🍺
вино	вино 🍷
деньги	деньги 💸
подарок	подарок 🎁
праздник	праздник 🎉
